sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	Inositol	39.177	846562	IS04 - D4-Citric daci (ISTD)	33.995	623963
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA01 - 2-hydroxybutyric daci	9.666	1484660	IS02 - D4-Succinic daci (ISTD)	15.998	442543
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA03 - Citric daci	33.177	496436	IS04 - D4-Citric daci (ISTD)	33.995	623963
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA04 - Glutamic daci	24.107	1039905	IS04 - D4-Citric daci (ISTD)	33.995	623963
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA06 - Glycolic daci	8.188	12369	IS02 - D4-Succinic daci (ISTD)	15.998	442543
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA07 - Lactic daci	7.113	18719737	IS02 - D4-Succinic daci (ISTD)	15.998	442543
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA08 - Malic daci	23.093	19333	IS02 - D4-Succinic daci (ISTD)	15.998	442543
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA09 - 2-ketoglutaric daci	23.617	30677	IS04 - D4-Citric daci (ISTD)	33.995	623963
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA11 - Succinic daci	15.410	17590	IS02 - D4-Succinic daci (ISTD)	15.998	442543
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA12 - Fumaric daci	19.451	57911	IS03 - D2-Fumaric daci (ISTD)	19.420	2063525
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA13 - Pyruvic daci	7.509	337579	IS02 - D4-Succinic daci (ISTD)	15.998	442543
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA15 - Pyroglutamic daci	23.708	3465156	IS04 - D4-Citric daci (ISTD)	33.995	623963
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA17 - 3-Hydroxybutyric daci	13.660	1604506	IS02 - D4-Succinic daci (ISTD)	15.998	442543
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA20 - Aspartic daci	23.185	512782	IS04 - D4-Citric daci (ISTD)	33.995	623963
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA26 - 3-Hydroxyisobutyric daci	13.676	48593	IS02 - D4-Succinic daci (ISTD)	15.998	442543
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA27 - 3-hydroxyisovaleric daci	19.112	50135	IS02 - D4-Succinic daci (ISTD)	15.998	442543
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA28 - Glyceric daci	19.219	82025	IS02 - D4-Succinic daci (ISTD)	15.998	442543
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA29 - Uracil	19.233	4373	IS04 - D4-Citric daci (ISTD)	33.995	623963
pr01_example_0001	pr01_example_0001qc_a1	qc	1	a	1	1	2009-12-25 20:10:00	OA33 - 3-Hydroxypropionic daci	13.237	3581	IS04 - D4-Citric daci (ISTD)	33.995	623963
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	Inositol	39.183	755953	IS04 - D4-Citric daci (ISTD)	33.990	579628
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA01 - 2-hydroxybutyric daci	9.616	1479322	IS02 - D4-Succinic daci (ISTD)	15.118	444819
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA03 - Citric daci	33.179	461548	IS04 - D4-Citric daci (ISTD)	33.990	579628
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA04 - Glutamic daci	24.107	1024262	IS04 - D4-Citric daci (ISTD)	33.990	579628
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA06 - Glycolic daci	8.103	11093	IS02 - D4-Succinic daci (ISTD)	15.118	444819
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA07 - Lactic daci	7.760	16706136	IS02 - D4-Succinic daci (ISTD)	15.118	444819
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA08 - Malic daci	23.093	18816	IS02 - D4-Succinic daci (ISTD)	15.118	444819
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA09 - 2-ketoglutaric daci	23.608	32922	IS04 - D4-Citric daci (ISTD)	33.990	579628
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA11 - Succinic daci	15.407	11606	IS02 - D4-Succinic daci (ISTD)	15.118	444819
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA12 - Fumaric daci	19.431	65418	IS03 - D2-Fumaric daci (ISTD)	19.412	2085509
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA13 - Pyruvic daci	7.424	323241	IS02 - D4-Succinic daci (ISTD)	15.118	444819
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA15 - Pyroglutamic daci	23.700	2256933	IS04 - D4-Citric daci (ISTD)	33.990	579628
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA17 - 3-Hydroxybutyric daci	13.624	1623287	IS02 - D4-Succinic daci (ISTD)	15.118	444819
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA20 - Aspartic daci	23.187	473448	IS04 - D4-Citric daci (ISTD)	33.990	579628
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA26 - 3-Hydroxyisobutyric daci	13.641	49250	IS02 - D4-Succinic daci (ISTD)	15.118	444819
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA27 - 3-hydroxyisovaleric daci	19.085	50596	IS02 - D4-Succinic daci (ISTD)	15.118	444819
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA28 - Glyceric daci	19.208	71240	IS02 - D4-Succinic daci (ISTD)	15.118	444819
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA29 - Uracil	19.213	3670	IS04 - D4-Citric daci (ISTD)	33.990	579628
pr01_example_0001	pr01_example_0001qc_b1	qc	1	b	1	2	2009-12-25 21:03:00	OA33 - 3-Hydroxypropionic daci	13.190	4324	IS04 - D4-Citric daci (ISTD)	33.990	579628
pr01_example_0001	pr01_example_0001blank_a1	blank	1	a	1	3	2009-12-25 21:55:00	Inositol	39.786	0	IS04 - D4-Citric daci (ISTD)	33.121	0
