sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	1-LG-Q	4.95842494048995	167827.924192037	2AG-ISTD	4.6398942887791	27238.0408317867
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	1-OG-Q	6.20140595387262	671247.906499997	2AG-ISTD	4.6398942887791	27238.0408317867
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	2-LG-Q	4.72115552878469	24774.6522062581	2AG-ISTD	4.6398942887791	27238.0408317867
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	2-OG-Q	5.90710737471406	59574.7070000003	2AG-ISTD	4.6398942887791	27238.0408317867
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	2AG-Q	4.86334658476225	334582.924033383	2AG-ISTD	4.6398942887791	27238.0408317867
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	2AGE-Q	5.94605622230449	4447.24322413798	2AG-ISTD	4.6398942887791	27238.0408317867
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	AA-Q	5.83273046299149	6916153.2459228	LEA-ISTD	3.93142356344473	321907.78038743
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	AEA-Q	4.01189109920322	45774.8170000001	AEA-ISTD	3.97176318507308	9197.0127089732
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	Alpha-LEA-Q	3.26105525911172	9326.95099999998	LEA-ISTD	3.93142356344473	321907.78038743
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	COR-Q	0.091205426135954	7299938.88968348	PEA-ISTD	4.48209553537711	516287.027414311
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	DEA-Q	5.12936197889269	6593.79385006778	OEA-ISTD	4.94124019822957	309255.858743592
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	DGLEA-Q	4.49878899199634	9035.40403187374	LEA-ISTD	3.93142356344473	321907.78038743
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	DHEA-Q	3.95147298250313	17233.6724309938	DHEA-ISTD	3.93179913562991	15358.2398185594
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	EPEA-Q	3.94434683850168	1426.26204498847	LEA-ISTD	3.93142356344473	321907.78038743
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	ETAEA-Q	4.00760737560643	4953.98694532675	PEA-ISTD	4.48209553537711	516287.027414311
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	LEA-Q	3.95184042020397	391923.414326264	LEA-ISTD	3.93142356344473	321907.78038743
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	NADA-Q	4.97775860506648	1285.00511234847	NADA-ISTD	4.02843146273475	19247.6213804609
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	O-AEA	3.21883466204494	43.2519975395888	AEA-ISTD	3.97176318507308	9197.0127089732
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	OAG-Q	6.98005833333333	685.003000000001	(No IS)		
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	OEA-Q	4.96302675551163	391928.641656459	OEA-ISTD	4.94124019822957	309255.858743592
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	PDEA-Q	3.76115872457638	34203.9675	LEA-ISTD	3.93142356344473	321907.78038743
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	PEA-Q	4.00318647245284	907822.664499999	PEA-ISTD	4.48209553537711	516287.027414311
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	POEA-Q	3.00611949627398	49686.4420000001	OEA-ISTD	4.94124019822957	309255.858743592
pr01_example_aac_0046	pr01_example_aac_0046_a1	sample	1	a	1	0	2013-11-01 00:05:25:00	SEA-Q	6.93553234875851	380267.020189279	SEA-ISTD	6.90828302605166	855175.904999998
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	1-LG-Q	4.95834738269933	246504.665701478	2AG-ISTD	4.63594739993578	32345.2053970061
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	1-OG-Q	6.20088547133673	841805.101365909	2AG-ISTD	4.63594739993578	32345.2053970061
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	2-LG-Q	4.71828298709322	27830.2179644565	2AG-ISTD	4.63594739993578	32345.2053970061
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	2-OG-Q	5.90321194287848	89453.2359999994	2AG-ISTD	4.63594739993578	32345.2053970061
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	2AG-Q	4.86263886479319	352625.059187672	2AG-ISTD	4.63594739993578	32345.2053970061
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	2AGE-Q	5.45609739640434	2678.05156815142	2AG-ISTD	4.63594739993578	32345.2053970061
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	AA-Q	5.83245017051896	8565163.05716298	LEA-ISTD	3.93138350491722	323317.957411852
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	AEA-Q	4.01354900923543	31063.7564999998	AEA-ISTD	3.96361731990472	9276.01568894298
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	Alpha-LEA-Q	3.25921575933878	7763.67599999999	LEA-ISTD	3.93138350491722	323317.957411852
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	COR-Q	0.09108583137917	2494730.48928098	PEA-ISTD	4.48130850082531	503193.430827408
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	DEA-Q	5.13022556265429	3122.06854850657	OEA-ISTD	4.93815822455209	267798.236703209
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	DGLEA-Q	4.00753815383865	4143.81476170733	LEA-ISTD	3.93138350491722	323317.957411852
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	DHEA-Q	3.93887360485015	10737.0679763702	DHEA-ISTD	3.92795658156554	17758.0965322915
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	EPEA-Q	3.94071042513194	4003.98007860969	LEA-ISTD	3.93138350491722	323317.957411852
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	ETAEA-Q	4.90482868481262	838.843120483927	PEA-ISTD	4.48130850082531	503193.430827408
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	LEA-Q	3.95263979070644	436303.631399916	LEA-ISTD	3.93138350491722	323317.957411852
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	NADA-Q	4.48131923926468	1130.92276552979	NADA-ISTD	4.08068309996493	12183.1799738097
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	O-AEA	3.22161917343874	8.48184206450662	AEA-ISTD	3.96361731990472	9276.01568894298
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	OAG-Q	6.40833317762109	450.08800000001	(No IS)		
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	OEA-Q	4.96378958679837	274484.099614771	OEA-ISTD	4.93815822455209	267798.236703209
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	PDEA-Q	3.75932513238118	29094.149	LEA-ISTD	3.93138350491722	323317.957411852
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	PEA-Q	4.00136822003946	831220.256999999	PEA-ISTD	4.48130850082531	503193.430827408
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	POEA-Q	3.00783168501133	96902.6276374371	OEA-ISTD	4.93815822455209	267798.236703209
pr01_example_aac_0025	pr01_example_aac_0025_a1	sample	1	a	1	1	2013-11-01 00:18:06:00	SEA-Q	6.93508178620184	263508.811499999	SEA-ISTD	6.90922873593444	835777.162999996
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	1-LG-Q	4.95633526252353	230397.167537792	2AG-ISTD	4.62745662874323	37995.939871595
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	1-OG-Q	6.20099421848164	664193.678999997	2AG-ISTD	4.62745662874323	37995.939871595
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	2-LG-Q	4.73087298874455	24373.0809308583	2AG-ISTD	4.62745662874323	37995.939871595
pr01_example_aac_0023	pr01_example_aac_0023_a1	sample	1	a	1	2	2013-11-01 00:30:47:00	2-OG-Q	5.90327053657022	76806.9209999999	2AG-ISTD	4.62745662874323	37995.939871595
