sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	1-methyl-L-histidine	2.18	2223	1-methyl-L-histidine_ISTD	0	21347
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	1-methyl-L-histidine	2.17	2748	1-methyl-L-histidine_ISTD	0	21422
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	3-methyl-L-histidine	1.93	3812	3-methyl-L-histidine_ISTD	0	21347
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	3-methyl-L-histidine	1.92	4232	3-methyl-L-histidine_ISTD	0	21422
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	Arg_C13N15	2.66	9460	Arg_C13N15_ISTD	0	
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	Arg_C13N15	2.66	9561	Arg_C13N15_ISTD	0	
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	Asn_C13N15	1.76	145448	Asn_C13N15_ISTD	0	
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	Asn_C13N15	1.76	146947	Asn_C13N15_ISTD	0	
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	Gln_C13N15	2.58	26213	Gln_C13N15_ISTD	0	
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	Gln_C13N15	2.58	25769	Gln_C13N15_ISTD	0	
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	Gly_C13N15	2.78	224180	Gly_C13N15_ISTD	0	
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	Gly_C13N15	2.78	219383	Gly_C13N15_ISTD	0	
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	L-4-hydroxy-proline	1.43	12398	L-4-hydroxy-proline_ISTD	0	145448
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	L-4-hydroxy-proline	1.44	13872	L-4-hydroxy-proline_ISTD	0	146947
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	L-NT-methyl-d3-L-histidine	2.15	21347	L-NT-methyl-d3-L-histidine_ISTD	0	
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	L-NT-methyl-d3-L-histidine	2.15	21422	L-NT-methyl-d3-L-histidine_ISTD	0	
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	L-arginine	2.66	22566	L-arginine_ISTD	0	9460
pr01_example_aac_0013	pr01_example_aac_0013_b1	sample	1	b	1	2	1970-01-02 04:46:42	L-arginine	2.66	23583	L-arginine_ISTD	0	9561
