ID#	1							
Name	2_3-dinor-8-iso-PGF2a							
	Data Filename	Sample Type	Ret. Time	Area	S/N	ISTD Area	ISTD Ret.Time	Date Acquired
1	PR01_EXAMPLE_AAC_0002BLANK_A1.lcd	Unknown	3,497	197	7,58	-----	-----	11/03/15 12:44
2	PR01_EXAMPLE_AAC_0002BLANK_A2.lcd	Unknown	3,355	439	4,42	-----	-----	11/03/15 15:08
3	PR01_EXAMPLE_AAC_0002BLANK_B1.lcd	Unknown	3,345	432	7,11	-----	-----	12/03/15 16:20
4	PR01_EXAMPLE_AAC_0002BLANK_B2.lcd	Unknown	3,485	234	1,38	-----	-----	12/03/15 18:44
5	PR01_EXAMPLE_AAC_0002CAL0_A1.lcd	Unknown	3,457	388	1,09	47217	4,518	11/03/15 13:13
6	PR01_EXAMPLE_AAC_0002CAL0_A2.lcd	Unknown	3,42	404	1,15	41051	4,549	12/03/15 16:49
7	PR01_EXAMPLE_AAC_0002CAL1_A1.lcd	Unknown	3,523	1079	2,85	45289	4,514	11/03/15 13:27
8	PR01_EXAMPLE_AAC_0002CAL1_A2.lcd	Unknown	3,345	5722	16,4	43056	4,544	12/03/15 17:03
9	PR01_EXAMPLE_AAC_0002CAL2_A1.lcd	Unknown	3,408	66	0,56	50785	4,514	11/03/15 13:42
10	PR01_EXAMPLE_AAC_0002CAL2_A2.lcd	Unknown	3,436	154	0,4	39116	4,548	12/03/15 17:17
11	PR01_EXAMPLE_AAC_0002CAL3_A1.lcd	Unknown	3,434	298	0,55	48201	4,508	11/03/15 13:56
12	PR01_EXAMPLE_AAC_0002CAL3_A2.lcd	Unknown	3,475	630	1,79	43540	4,542	12/03/15 17:32
13	PR01_EXAMPLE_AAC_0002CAL4_A1.lcd	Unknown	3,32	111905	404,11	52472	4,516	11/03/15 14:10
14	PR01_EXAMPLE_AAC_0002CAL4_A2.lcd	Unknown	3,477	573	1,83	44476	4,546	12/03/15 17:46
15	PR01_EXAMPLE_AAC_0002CAL5_A1.lcd	Unknown	3,311	178036	479,5	46741	4,509	11/03/15 14:25
16	PR01_EXAMPLE_AAC_0002CAL5_A2.lcd	Unknown	3,477	268	2,4	37552	4,541	12/03/15 18:01
17	PR01_EXAMPLE_AAC_0002CAL6_A1.lcd	Unknown	3,308	346665	663,92	51860	4,505	11/03/15 14:39
18	PR01_EXAMPLE_AAC_0002CAL6_A2.lcd	Unknown	3,341	321901	822,79	44005	4,539	12/03/15 18:15
19	PR01_EXAMPLE_AAC_0002QC_A1.lcd	Unknown	3,463	634	1,54	50056	4,513	11/03/15 12:29
